time	group	action
1386357954192	023	videopaused
1386357945764	k2	videopaused
1386357961205	023	videoplayed
1386357956809	k2	videoplayed
1386358001256	023	videopaused
1386358006224	023	videoplayed
1386358670674	023	videopaused
1386358684674	023	videoplayed
1386358768709	k2	videopaused
1386358871386	023	videopaused
1386358894346	023	videoplayed
1386358899130	023	videopaused
1386358904058	023	videoplayed
1386358913338	023	videopaused
1386358919402	023	videoplayed
1386359531886	023	videoplayed
1386359538310	023	videopaused
1386359574637	023	videoplayed
1386359684486	023	videopaused
1386365123628	k2	loadvideo
1386365208217	k2	loadvideo
1386369674642	k2	loadvideo
1386369683926	k2	seek_start
1386369684044	k2	seek_end
1386370124348	k2	loadvideo
1386370172733	k2	videoplayed
1386370179572	k2	loadvideo
1386370187300	k2	loadvideo
1386370194216	k2	loadvideo
1386370196551	k2	loadvideo
1386370218485	k2	loadvideo
1386370233662	k2	assessmentdisplaybegin
1386370652305	k2	videoplayed
1386370655493	k2	seek_start
1386370655614	k2	seek_end
1386382076495	k2	videoplayed
1386382193455	k2	seek_start
1386382194017	k2	seek_end
1386382716104	k2	videopaused
1386382955158	k2	videoplayed
1386383209998	k2	videopaused
1386383243444	k2	videoplayed
1386383629491	k2	videopaused
1386385871120	k2	videoplayed
1386386402275	k2	videoended
1386386402275	k2	videoended
1386386417549	k2	loadvideo
