time	group	action
1386342326710	dist_layout	seek_end
1386342366188	layout_planing	seek_start
1386342366694	layout_planing	seek_end
1386342368314	layout_planing	seek_start
1386342369116	layout_planing	seek_end
1386342370288	layout_planing	seek_start
1386342370830	layout_planing	seek_end
1386342401936	dist_layout	videoplayed
1386342446926	layout_planing	seek_start
1386342447367	layout_planing	seek_end
1386342448273	layout_planing	seek_start
1386342448849	layout_planing	seek_end
1386342450212	layout_planing	seek_start
1386342450267	layout_planing	seek_end
1386342452359	layout_planing	seek_start
1386342452441	layout_planing	seek_end
1386342453239	layout_planing	seek_start
1386342453342	layout_planing	seek_end
1386342454481	layout_planing	seek_start
1386342454564	layout_planing	seek_end
1386342466597	layout_planing	seek_start
1386342466684	layout_planing	seek_end
1386342498373	layout_planing	seek_start
1386342498462	layout_planing	seek_end
1386342500730	layout_planing	seek_start
1386342500817	layout_planing	seek_end
1386342505341	layout_planing	seek_start
1386342505451	layout_planing	seek_end
1386342523471	layout_planing	seek_start
1386342523561	layout_planing	seek_end
1386342524735	layout_planing	seek_start
1386342524830	layout_planing	seek_end
1386342582218	dist_layout	saveannotation assessment
1386342582234	dist_layout	videoplayed
1386342582749	dist_layout	assessmentdisplaybegin
1386342589098	dist_layout	videoplayed
1386342576523	product_layouts	loadvideo
1386342595993	dist_layout	clickassessmentfromlist
1386342596118	dist_layout	assessmentdisplaybegin
1386342601219	dist_layout	videoplayed
1386342679649	product_layouts	videopaused
1386342715642	layout_planing	seek_start
1386342715708	layout_planing	seek_end
1386342716451	layout_planing	seek_start
1386342716517	layout_planing	seek_end
1386342718393	layout_planing	seek_start
1386342718483	layout_planing	seek_end
1386342719278	layout_planing	seek_start
1386342719375	layout_planing	seek_end
1386342725580	layout_planing	seek_start
1386342725670	layout_planing	seek_end
1386342726293	layout_planing	seek_start
1386342726382	layout_planing	seek_end
1386342726960	layout_planing	seek_start
1386342727044	layout_planing	seek_end
1386342728061	layout_planing	seek_start
1386342728157	layout_planing	seek_end
1386342728865	layout_planing	seek_start
1386342728954	layout_planing	seek_end
1386342765033	layout_planing	seek_start
1386342765091	layout_planing	seek_end
1386342749354	dist_layout	saveannotation assessment
1386342749354	dist_layout	videoplayed
1386342749868	dist_layout	assessmentdisplaybegin
1386342758932	dist_layout	videoplayed
1386342780218	layout_planing	seek_start
1386342780372	layout_planing	seek_end
1386342781056	layout_planing	seek_start
1386342781179	layout_planing	seek_end
1386342781764	layout_planing	seek_start
1386342781873	layout_planing	seek_end
1386342782530	layout_planing	seek_start
1386342782630	layout_planing	seek_end
1386342786197	layout_planing	seek_start
1386342786307	layout_planing	seek_end
